一	 yi_1
人	 ren_2
人为	 ren_2 wei_2
人人乐	 ren_2 ren_2 le_4
人们	 ren_2 men_0
人体	 ren_2 ti_3
人力资源	 ren_2 li_4 zi_1 yuan_2
人口	 ren_2 kou_3
人员	 ren_2 yuan_2
人在旅途	 ren_2 zai_4 lv_3 tu_2
人均	 ren_2 jun_1
人大	 ren_2 da_4
人大会堂	 ren_2 da_4 hui_4 tang_2
人大常委会	 ren_2 da_4 chang_2 wei_3 hui_4
人大附中	 ren_2 da_4 fu_4 zhong_1
人家	 ren_2 jia_1
人寿	 ren_2 shou_4
人寿保险	 ren_2 shou_4 bao_3 xian_3
人居	 ren_2 ju_1
人心	 ren_2 xin_1
人怕出名猪怕壮	 ren_2 pa_4 chu_1 ming_2 zhu_1 pa_4 zhuang_4
人才	 ren_2 cai_2
人文	 ren_2 wen_2
人民	 ren_2 min_2
人民军队	 ren_2 min_2 jun_1 dui_4
人民出版社	 ren_2 min_2 chu_1 ban_3 she_4
人民团体	 ren_2 min_2 tuan_2 ti_3
人民大会堂	 ren_2 min_2 da_4 hui_4 tang_2
人民大学	 ren_2 min_2 da_4 xue_2
人民币	 ren_2 min_2 bi_4
人民广场	 ren_2 min_2 guang_3 chang_3
人民政府	 ren_2 min_2 zheng_4 fu_3
人民日报	 ren_2 min_2 ri_4 bao_4
人民检察院	 ren_2 min_2 jian_3 cha_2 yuan_4
人民法院	 ren_2 min_2 fa_3 yuan_4
人民院	 ren_2 min_2 yuan_4
人气	 ren_2 qi_4
人生	 ren_2 sheng_1
人生路	 ren_2 sheng_1 lu_4
人艺	 ren_2 yi_4
人质	 ren_2 zhi_4
人间	 ren_2 jian_1
亿	 yi_4
亿万	 yi_4 wan_4
什	 shen_2
什么	 shen_2 me_0
什么样	 shen_2 me_0 yang_4
什邡市	 shen_2 fang_1 shi_4
仁	 ren_2
仁和	 ren_2 he_2
仁寿	 ren_2 shou_4
仁寿县	 ren_2 shou_4 xian_4
仁川	 ren_2 chuan_1
仁怀	 ren_2 huai_2
仁慈	 ren_2 ci_2
仁济	 ren_2 ji_4
仁爱	 ren_2 ai_4
仅仅	 jin_3 jin_3
仇	 chou_2
今	 jin_1
今世	 jin_1 shi_4
今儿	 jin_1 er_2
今后	 jin_1 hou_4
今夜	 jin_1 ye_4
今天	 jin_1 tian_1
今天下午	 jin_1 tian_1 xia_4 wu_3
今天天气	 jin_1 tian_1 tian_1 qi_4
今宵	 jin_1 xiao_1
今年	 jin_1 nian_2
今年夏天	 jin_1 nian_2 xia_4 tian_1
今年春节	 jin_1 nian_2 chun_1 jie_2
今年过年	 jin_1 nian_2 guo_4 nian_2
今日	 jin_1 ri_4
今晚	 jin_1 wan_3
今朝	 jin_1 zhao_1
今生	 jin_1 sheng_1
介绍	 jie_4 shao_4
介绍所	 jie_4 shao_4 suo_3
从	 cong_2
从中	 cong_2 zhong_1
从今	 cong_2 jin_1
从优	 cong_2 you_1
从前	 cong_2 qian_2
从商	 cong_2 shang_1
从头再来	 cong_2 tou_2 zai_4 lai_2
从早到晚	 cong_2 zao_3 dao_4 wan_3
从朝阳	 cong_2 zhao_1 yang_2
从来	 cong_2 lai_2
从此	 cong_2 ci_3
从江	 cong_2 jiang_1
仑	 lun_2
仓	 cang_1
仓储	 cang_1 chu_3
仓山	 cang_1 shan_1
仓山区	 cang_1 shan_1 qu_1
仓颉	 cang_1 jie_2
仔	 zai_3
仕	 shi_4
他	 ta_1
他们	 ta_1 men_0
他妈的	 ta_1 ma_1 de_0
仗	 zhang_4
付	 fu_4
付出	 fu_4 chu_1
仙	 xian_1
仙人	 xian_1 ren_2
仙剑	 xian_1 jian_4
仙台	 xian_1 tai_2
仙境	 xian_1 jing_4
仙女	 xian_1 nv_3
仙客来	 xian_1 ke_4 lai_2
仙宫	 xian_1 gong_1
仙居	 xian_1 ju_1
仙桃	 xian_1 tao_2
仙洞	 xian_1 dong_4
仙游县	 xian_1 you_2 xian_4
仙湖	 xian_1 hu_2
仙踪	 xian_1 zong_1
仙都	 xian_1 dou_1
仙霞	 xian_1 xia_2
仙霞路	 xian_1 xia_2 lu_4
仟	 qian_1
代	 dai_4
代价	 dai_4 jia_4
代办所	 dai_4 ban_4 suo_3
代号	 dai_4 hao_4
代售点	 dai_4 shou_4 dian_3
代理	 dai_4 li_3
代理点	 dai_4 li_3 dian_3
代表作品	 dai_4 biao_3 zuo_4 pin_3
代表处	 dai_4 biao_3 chu_4
令	 ling_4
以	 yi_3
以上	 yi_3 shang_4
以下	 yi_3 xia_4
以为	 yi_3 wei_2
以便	 yi_3 bian_4
以内	 yi_3 nei_4
以前	 yi_3 qian_2
以后	 yi_3 hou_4
以外	 yi_3 wai_4
以父之名	 yi_3 fu_4 zhi_1 ming_2
仪	 yi_2
仪器	 yi_2 qi_4
仪征市	 yi_2 zheng_1 shi_4
仪表	 yi_2 biao_3
仪表盘	 yi_2 biao_3 pan_2
仪陇县	 yi_2 long_3 xian_4
们	 men_0
仰	 yang_3
仰天	 yang_3 tian_1
仰天湖	 yang_3 tian_1 hu_2
仲	 zhong_4
仲夏夜	 zhong_4 xia_4 ye_4
仲裁	 zhong_4 cai_2
价	 jia_4
价位	 jia_4 wei_4
价格	 jia_4 ge_2
价格低	 jia_4 ge_2 di_1
价钱	 jia_4 qian_2
任	 ren_4
任务	 ren_4 wu_4
任贤齐	 ren_4 xian_2 qi_2
份	 fen_4
仿	 fang_3
企	 qi_3
企业	 qi_3 ye_4
企业法人	 qi_3 ye_4 fa_3 ren_2
企鹅	 qi_3 e_2
伊	 yi_1
伊东	 yi_1 dong_1
伊人	 yi_1 ren_2
伊利	 yi_1 li_4
伊宁	 yi_1 ning_2
伊宁市	 yi_1 ning_2 shi_4
伊川	 yi_1 chuan_1
伊川县	 yi_1 chuan_1 xian_4
伊康	 yi_1 kang_1
伊春	 yi_1 chun_1
伊朗	 yi_1 lang_3
伊犁	 yi_1 li_2
伊犁哈萨克自治州	 yi_1 li_2 ha_1 sa_4 ke_4 zi_4 zhi_4 zhou_1
伊犁地区	 yi_1 li_2 di_4 qu_1
伊甸园	 yi_1 dian_4 yuan_2
伊能静	 yi_1 neng_2 jing_4
伊顿公	 yi_1 dun_4 gong_1
伍	 wu_3
伏	 fu_2
伏妖	 fu_2 yao_1
伏牛	 fu_2 niu_2
伏特加	 fu_2 te_4 jia_1
休	 xiu_1
休息	 xiu_1 xi_1
休斯敦	 xiu_1 si_1 dun_1
休斯顿	 xiu_1 si_1 dun_4
休闲	 xiu_1 xian_2
休闲吧	 xiu_1 xian_2 ba_0
众	 zhong_4
众人	 zhong_4 ren_2
众信	 zhong_4 xin_4
优	 you_1
优先	 you_1 xian_1
优化	 you_1 hua_4
优惠	 you_1 hui_4
优惠券	 you_1 hui_4 quan_4
优惠机票	 you_1 hui_4 ji_1 piao_4
优盘	 you_1 pan_2
优美	 you_1 mei_3
优选	 you_1 xuan_3
优雅	 you_1 ya_3
伙计	 huo_3 ji_4
会	 hui_4
会儿	 hui_4 er_0
会员	 hui_4 yuan_2
会员卡	 hui_4 yuan_2 ka_3
会堂	 hui_4 tang_2
会展	 hui_4 zhan_3
会展中心	 hui_4 zhan_3 zhong_1 xin_1
会战	 hui_4 zhan_4
会晒	 hui_4 shai_4
会泽	 hui_4 ze_2
会计	 kuai_4 ji_4
会计学院	 kuai_4 ji_4 xue_2 yuan_4
会议	 hui_4 yi_4
会议厅	 hui_4 yi_4 ting_1
会议室	 hui_4 yi_4 shi_4
会长	 hui_4 zhang_3
会馆	 hui_4 guan_3
伞	 san_3
伟	 wei_3
伟业	 wei_3 ye_4
伟大	 wei_3 da_4
传	 chuan_2
传世	 chuan_2 shi_4
传到	 chuan_2 dao_4
传奇	 chuan_2 qi_2
传媒	 chuan_2 mei_2
传媒大学	 chuan_2 mei_2 da_4 xue_2
传播	 chuan_2 bo_1
传统	 chuan_2 tong_3
传统节日	 chuan_2 tong_3 jie_2 ri_4
传说	 chuan_2 shuo_1
传递	 chuan_2 di_4
伤	 shang_1
伤人	 shang_1 ren_2
伤害	 shang_1 hai_4
伤心	 shang_1 xin_1
伤感	 shang_1 gan_3
伤痕	 shang_1 hen_2
伤离别	 shang_1 li_2 bie_2
伦	 lun_2
伦巴	 lun_2 ba_1
伦敦	 lun_2 dun_1
伦比	 lun_2 bi_3
伪	 wei_3
伯	 bo_2
伯爵	 bo_2 jue_2
估计	 gu_1 ji_4
伴	 ban_4
伴奏	 ban_4 zou_4
似	 shi_4
伽	 ga_1
伽玛刀	 ga_1 ma_3 dao_1
佃	 dian_4
但	 dan_4
但愿人长久	 dan_4 yuan_4 ren_2 chang_2 jiu_3
位	 wei_4
位于	 wei_4 yu_2
位子	 wei_4 zi_0
位置	 wei_4 zhi_4
低	 di_1
低于	 di_1 yu_2
低头	 di_1 tou_2
低档	 di_1 dang_4
低点	 di_1 dian_3
低调	 di_1 diao_4
低谷	 di_1 gu_3
低音	 di_1 yin_1
住	 zhu_4
住到	 zhu_4 dao_4
住址	 zhu_4 zhi_3
住宅	 zhu_4 zhai_2
住宅区	 zhu_4 zhai_2 qu_1
住宅小区	 zhu_4 zhai_2 xiao_3 qu_1
住宅楼	 zhu_4 zhai_2 lou_2
住宿	 zhu_4 su_4
住店	 zhu_4 dian_4
住房	 zhu_4 fang_2
住酒店	 zhu_4 jiu_3 dian_4
住院楼	 zhu_4 yuan_4 lou_2
住院部	 zhu_4 yuan_4 bu_4
佐	 zuo_3
佑	 you_4
体	 ti_3
体操	 ti_3 cao_1
体校	 ti_3 xiao_4
体检	 ti_3 jian_3
体检中心	 ti_3 jian_3 zhong_1 xin_1
体育	 ti_3 yu_4
体育中心	 ti_3 yu_4 zhong_1 xin_1
体育场	 ti_3 yu_4 chang_3
体育彩票	 ti_3 yu_4 cai_3 piao_4
体育馆	 ti_3 yu_4 guan_3
体表	 ti_3 biao_3
体谅	 ti_3 liang_4
体面	 ti_3 mian_4
体验	 ti_3 yan_4
何	 he_2
何以	 he_2 yi_3
何必	 he_2 bi_4
何用	 he_2 yong_4
何韵诗	 he_2 yun_4 shi_1
佘	 she_2
余	 yu_2
余姚	 yu_2 yao_2
余姚市	 yu_2 yao_2 shi_4
余庆	 yu_2 qing_4
余杭区	 yu_2 hang_2 qu_1
余生	 yu_2 sheng_1
余额	 yu_2 e_2
佛	 fu_2
佛兰克林	 fu_2 lan_2 ke_4 lin_2
佛塔	 fo_2 ta_3
佛头	 fu_2 tou_2
佛山	 fo_2 shan_1
佛山市	 fo_2 shan_1 shi_4
佛教	 fo_2 jiao_4
佛经	 fo_2 jing_1
佛罗伦萨	 fo_2 luo_2 lun_2 sa_4
作	 zuo_4
作为	 zuo_4 wei_2
作到	 zuo_4 dao_4
作品	 zuo_4 pin_3
作坊	 zuo_1 fang_0
作家	 zuo_4 jia_1
作曲	 zuo_4 qu_3
作曲家	 zuo_4 qu_3 jia_1
作用	 zuo_4 yong_4
佟	 tong_2
佟麟阁	 tong_2 lin_2 ge_2
你	 ni_3
你们	 ni_3 men_0
你好	 ni_3 hao_3
你家	 ni_3 jia_1
你老	 ni_3 lao_3
佩奇	 pei_4 qi_2
佬	 lao_3
佰	 bai_3
佳	 jia_1
佳佳	 jia_1 jia_1
佳园	 jia_1 yuan_2
佳木斯	 jia_1 mu_4 si_1
佳木斯市	 jia_1 mu_4 si_1 shi_4
佳美	 jia_1 mei_3
佳运	 jia_1 yun_4
使	 shi_3
使徒	 shi_3 tu_2
使用	 shi_3 yong_4
使用手册	 shi_3 yong_4 shou_3 ce_4
使用指南	 shi_3 yong_4 zhi_3 nan_2
使者	 shi_3 zhe_3
侃侃	 kan_3 kan_3
來	 lai_2
侏罗纪	 zhu_1 luo_2 ji_4
供	 gong_1
供养	 gong_4 yang_3
供应链	 gong_1 ying_4 lian_4
供电	 gong_1 dian_4
供电局	 gong_1 dian_4 ju_2
供销社	 gong_1 xiao_1 she_4
依	 yi_1
依旧	 yi_1 jiu_4
依波	 yi_1 bo_1
依然	 yi_1 ran_2
依稀	 yi_1 xi_1
依缘	 yi_1 yuan_2
依靠	 yi_1 kao_4
侠	 xia_2
侠盗	 xia_2 dao_4
侦探	 zhen_1 tan_4
侧	 ce_4
侧面	 ce_4 mian_4
侨	 qiao_2
侨联	 qiao_2 lian_2
侬	 nong_2
侯	 hou_2
侯马	 hou_2 ma_3
便	 bian_4
便利	 bian_4 li_4
便利店	 bian_4 li_4 dian_4
便宜	 pian_2 yi_2
便当	 bian_4 dang_1
便是	 bian_4 shi_4
便民	 bian_4 min_2
便民服务	 bian_4 min_2 fu_2 wu_4
促进	 cu_4 jin_4
促进会	 cu_4 jin_4 hui_4
俄罗斯	 e_2 luo_2 si_1
俊	 jun_4
俊杰	 jun_4 jie_2
俏	 qiao_4
俏江南	 qiao_4 jiang_1 nan_2
俐	 li_4
保	 bao_3
保亭	 bao_3 ting_2
保健	 bao_3 jian_4
保健院	 bao_3 jian_4 yuan_4
保养	 bao_3 yang_3
保利	 bao_3 li_4
保利剧院	 bao_3 li_4 ju_4 yuan_4
保利大厦	 bao_3 li_4 da_4 sha_4
保存	 bao_3 cun_2
保存起来	 bao_3 cun_2 qi_3 lai_2
保宁	 bao_3 ning_2
保安	 bao_3 an_1
保安大队	 bao_3 an_1 da_4 dui_4
保安局	 bao_3 an_1 ju_2
保安村	 bao_3 an_1 cun_1
保定	 bao_3 ding_4
保定市	 bao_3 ding_4 shi_4
保定路	 bao_3 ding_4 lu_4
保山	 bao_3 shan_1
保山市	 bao_3 shan_1 shi_4
保德	 bao_3 de_2
保护	 bao_3 hu_4
保持	 bao_3 chi_2
保时捷	 bao_3 shi_2 jie_2
保暖	 bao_3 nuan_3
保洁	 bao_3 jie_2
保温管	 bao_3 wen_1 guan_3
保留	 bao_3 liu_2
保税	 bao_3 shui_4
保税区	 bao_3 shui_4 qu_1
保管	 bao_3 guan_3
保罗	 bao_3 luo_2
保重	 bao_3 zhong_4
保险	 bao_3 xian_3
保险公司	 bao_3 xian_3 gong_1 si_1
保险箱	 bao_3 xian_3 xiang_1
保障	 bao_3 zhang_4
保障局	 bao_3 zhang_4 ju_2
保龄球馆	 bao_3 ling_2 qiu_2 guan_3
俞	 yu_2
信	 xin_4
信义	 xin_4 yi_4
信义路	 xin_4 yi_4 lu_4
信乐团	 xin_4 yue_4 tuan_2
信仰	 xin_4 yang_3
信号	 xin_4 hao_4
信天游	 xin_4 tian_1 you_2
信宜市	 xin_4 yi_2 shi_4
信息	 xin_4 xi_1
信息中心	 xin_4 xi_1 zhong_1 xin_1
信息产业	 xin_4 xi_1 chan_3 ye_4
信息工程	 xin_4 xi_1 gong_1 cheng_2
信息技术	 xin_4 xi_1 ji_4 shu_4
信息港	 xin_4 xi_1 gang_3
信用卡	 xin_4 yong_4 ka_3
信用社	 xin_4 yong_4 she_4
信者	 xin_4 zhe_3
信誉	 xin_4 yu_4
信访	 xin_4 fang_3
信阳	 xin_4 yang_2
信阳市	 xin_4 yang_2 shi_4
俩	 lia_3
俪	 li_4
修	 xiu_1
修仙	 xiu_1 xian_1
修到	 xiu_1 dao_4
修复	 xiu_1 fu_4
修改	 xiu_1 gai_3
修文县	 xiu_1 wen_2 xian_4
修正	 xiu_1 zheng_4
修炼	 xiu_1 lian_4
修理	 xiu_1 li_3
修理厂	 xiu_1 li_3 chang_3
修身	 xiu_1 shen_1
修车	 xiu_1 che_1
修造厂	 xiu_1 zao_4 chang_3
俱	 ju_4
俱乐部	 ju_4 le_4 bu_4
俶	 chu_4
俺	 an_3
倉	 cang_1
倍儿	 bei_4 er_2
倒	 dao_4
倒时差	 dao_4 shi_2 cha_4
倒满	 dao_4 man_3
倒车	 dao_4 che_1
倔强	 jue_2 jiang_4
候	 hou_4
借	 jie_4
借口	 jie_4 kou_3
借贷	 jie_4 dai_4
倡议	 chang_4 yi_4
倩	 qian_4
倩女幽魂	 qian_4 nv_3 you_1 hun_2
值	 zhi_2
值得	 zhi_2 de_0
倾城	 qing_1 cheng_2
倾情	 qing_1 qing_2
假	 jia_3
假如	 jia_3 ru_2
假日	 jia_4 ri_4
假日酒店	 jia_4 ri_4 jiu_3 dian_4
假期	 jia_4 qi_1
偏偏	 pian_1 pian_1
偏爱	 pian_1 ai_4
偏见	 pian_1 jian_4
偕	 xie_2
做	 zuo_4
做工	 zuo_4 gong_1
做梦	 zuo_4 meng_4
做法	 zuo_4 fa_3
做菜	 zuo_4 cai_4
停	 ting_2
停下	 ting_2 xia_4
停掉	 ting_2 diao_4
停放	 ting_2 fang_4
停止	 ting_2 zhi_3
停止使用	 ting_2 zhi_3 shi_3 yong_4
停车	 ting_2 che_1
停车位	 ting_2 che_1 wei_4
停车场	 ting_2 che_1 chang_3
停车站	 ting_2 che_1 zhan_4
健	 jian_4
健康	 jian_4 kang_1
健康歌	 jian_4 kang_1 ge_1
健民	 jian_4 min_2
健身	 jian_4 shen_1
健身房	 jian_4 shen_1 fang_2
偷	 tou_1
偷偷	 tou_1 tou_1
偷心	 tou_1 xin_1
傅	 fu_4
傅家坡	 fu_4 jia_1 po_1
傍	 bang_4
傍晚	 bang_4 wan_3
傣味	 dai_3 wei_4
傥	 tang_3
储存	 chu_3 cun_2
储蓄所	 chu_3 xu_4 suo_3
催眠	 cui_1 mian_2
催眠曲	 cui_1 mian_2 qu_3
傲	 ao_4
傻	 sha_3
傻子	 sha_3 zi_0
傻瓜	 sha_3 gua_1
像	 xiang_4
像是	 xiang_4 shi_4
僧	 seng_1
僮	 tong_2
僵尸	 jiang_1 shi_1
儋州	 dan_1 zhou_1
儋州市	 dan_1 zhou_1 shi_4
儒	 ru_2
儿	 er_2
儿女	 er_2 nv_3
儿子	 er_2 zi_0
儿歌	 er_2 ge_1
儿科	 er_2 ke_1
儿科医院	 er_2 ke_1 yi_1 yuan_4
儿童	 er_2 tong_2
儿童乐园	 er_2 tong_2 le_4 yuan_2
儿童公园	 er_2 tong_2 gong_1 yuan_2
儿童剧	 er_2 tong_2 ju_4
儿童医院	 er_2 tong_2 yi_1 yuan_4
儿童活动	 er_2 tong_2 huo_2 dong_4
儿童节	 er_2 tong_2 jie_2
儿童英语	 er_2 tong_2 ying_1 yu_3
允许	 yun_3 xu_3
元	 yuan_2
元丰	 yuan_2 feng_1
元亨利	 yuan_2 heng_1 li_4
元华	 yuan_2 hua_2
元宝区	 yuan_2 bao_3 qu_1
元宵节	 yuan_2 xiao_1 jie_2
元山	 yuan_2 shan_1
元旦	 yuan_2 dan_4
元旦假期	 yuan_2 dan_4 jia_4 qi_1
元旦节	 yuan_2 dan_4 jie_2
元谋	 yuan_2 mou_2
元首	 yuan_2 shou_3
兄妹	 xiong_1 mei_4
兄弟	 xiong_1 di_4
充	 chong_1
充到	 chong_1 dao_4
充电	 chong_1 dian_4
兆	 zhao_4
先	 xian_1
先去	 xian_1 qu_4
先在	 xian_1 zai_4
先导	 xian_1 dao_3
先烈	 xian_1 lie_4
先生	 xian_1 sheng_1
先锋	 xian_1 feng_1
先锋队	 xian_1 feng_1 dui_4
光	 guang_1
光临	 guang_1 lin_2
光华	 guang_1 hua_2
光华路	 guang_1 hua_2 lu_4
光复	 guang_1 fu_4
光复路	 guang_1 fu_4 lu_4
光大	 guang_1 da_4
光大银行	 guang_1 da_4 yin_2 hang_2
光头	 guang_1 tou_2
光学	 guang_1 xue_2
光年	 guang_1 nian_2
光彩	 guang_1 cai_3
光影	 guang_1 ying_3
光明	 guang_1 ming_2
光机电	 guang_1 ji_1 dian_4
光棍节	 guang_1 gun_4 jie_2
光熙	 guang_1 xi_1
光电	 guang_1 dian_4
光良	 guang_1 liang_2
光芒	 guang_1 mang_2
光荣	 guang_1 rong_2
光谱分析	 guang_1 pu_3 fen_1 xi_1
光谷	 guang_1 gu_3
光路	 guang_1 lu_4
光辉	 guang_1 hui_1
光闪闪	 guang_1 shan_3 shan_3
光雾	 guang_1 wu_4
克	 ke_4
克劳	 ke_4 lao_2
克孜勒苏	 ke_4 zi_1 lei_1 su_1
克拉	 ke_4 la_1
克拉克	 ke_4 la_1 ke_4
克拉拉	 ke_4 la_1 la_1
克拉玛依	 ke_4 la_1 ma_3 yi_1
克斯	 ke_4 si_1
克罗地亚	 ke_4 luo_2 de_0 ya_4
克莱德曼	 ke_4 lai_2 de_2 man_4
克莱斯	 ke_4 lai_2 si_1
克里	 ke_4 li_3
克里斯	 ke_4 li_3 si_1
免	 mian_3
免提	 mian_3 ti_2
免检	 mian_3 jian_3
免费	 mian_3 fei_4
兔	 tu_4
兔子	 tu_4 zi_0
兔肉	 tu_4 rou_4
兖州	 yan_3 zhou_1
党	 dang_3
党参	 dang_3 shen_1
党员干部	 dang_3 yuan_2 gan_4 bu_4
党总支	 dang_3 zong_3 zhi_1
党校	 dang_3 xiao_4
兜	 dou_1
入	 ru_4
入住	 ru_4 zhu_4
入口	 ru_4 kou_3
入市	 ru_4 shi_4
入门	 ru_4 men_2
內	 nei_4
全	 quan_2
全世界	 quan_2 shi_4 jie_4
全力	 quan_2 li_4
全国	 quan_2 guo_2
全套	 quan_2 tao_4
全家	 quan_2 jia_1
全局	 quan_2 ju_2
全屏	 quan_2 ping_2
全年	 quan_2 nian_2
全日空	 quan_2 ri_4 kong_1
全椒县	 quan_2 jiao_1 xian_4
全球	 quan_2 qiu_2
全福	 quan_2 fu_2
全科医师	 quan_2 ke_1 yi_1 shi_1
全聚德	 quan_2 ju_4 de_2
全聚德烤鸭店	 quan_2 ju_4 de_2 kao_3 ya_1 dian_4
全能	 quan_2 neng_2
全自动	 quan_2 zi_4 dong_4
全部	 quan_2 bu_4
全部歌曲	 quan_2 bu_4 ge_1 qu_3
全部都是	 quan_2 bu_4 dou_1 shi_4
八	 ba_1
八一	 ba_1 yi_1
八七	 ba_1 qi_1
八万	 ba_1 wan_4
八三	 ba_1 san_1
八中	 ba_1 zhong_1
八九	 ba_1 jiu_3
八乡	 ba_1 xiang_1
八二三	 ba_1 er_4 san_1
八五	 ba_1 wu_3
八五八	 ba_1 wu_3 ba_1
八仙	 ba_1 xian_1
八佰伴	 ba_1 bai_3 ban_4
八倍	 ba_1 bei_4
八元	 ba_1 yuan_2
八八	 ba_1 ba_1
八公里	 ba_1 gong_1 li_3
八分	 ba_1 fen_1
八区	 ba_1 qu_1
八十	 ba_1 shi_2
八十一	 ba_1 shi_2 yi_1
八十一路	 ba_1 shi_2 yi_1 lu_4
八十七	 ba_1 shi_2 qi_1
八十万	 ba_1 shi_2 wan_4
八十三	 ba_1 shi_2 san_1
八十九	 ba_1 shi_2 jiu_3
八十二	 ba_1 shi_2 er_4
八十五	 ba_1 shi_2 wu_3
八十五号	 ba_1 shi_2 wu_3 hao_4
八十八	 ba_1 shi_2 ba_1
八十六	 ba_1 shi_2 liu_4
八十四	 ba_1 shi_2 si_4
八十年代	 ba_1 shi_2 nian_2 dai_4
八十米	 ba_1 shi_2 mi_3
八千	 ba_1 qian_1
八千元	 ba_1 qian_1 yuan_2
八卦	 ba_1 gua_4
八卦岭	 ba_1 gua_4 ling_3
八只	 ba_1 zhi_3
八号	 ba_1 hao_4
八国	 ba_1 guo_2
八大	 ba_1 da_4
八大处	 ba_1 da_4 chu_4
八大菜系	 ba_1 da_4 cai_4 xi_4
八天	 ba_1 tian_1
八宝	 ba_1 bao_3
八宝山	 ba_1 bao_3 shan_1
八家	 ba_1 jia_1
八年	 ba_1 nian_2
八度	 ba_1 du_4
八方	 ba_1 fang_1
八日	 ba_1 ri_4
八日上午	 ba_1 ri_4 shang_4 wu_3
八月	 ba_1 yue_4
八月份	 ba_1 yue_4 fen_4
八月八	 ba_1 yue_4 ba_1
八月节	 ba_1 yue_4 jie_2
八栋	 ba_1 dong_4
八次	 ba_1 ci_4
八点	 ba_1 dian_3
八点钟	 ba_1 dian_3 zhong_1
八百	 ba_1 bai_3
八百元	 ba_1 bai_3 yuan_2
八百块	 ba_1 bai_3 kuai_4
八百米	 ba_1 bai_3 mi_3
八角	 ba_1 jiao_3
八路	 ba_1 lu_4
八达岭	 ba_1 da_2 ling_3
八通	 ba_1 tong_1
八道	 ba_1 dao_4
八里	 ba_1 li_3
八里台	 ba_1 li_3 tai_2
八里庄	 ba_1 li_3 zhuang_1
公	 gong_1
公主	 gong_1 zhu_3
公主坟	 gong_1 zhu_3 fen_2
公主岭	 gong_1 zhu_3 ling_3
公交	 gong_1 jiao_1
公交站	 gong_1 jiao_1 zhan_4
公交路线	 gong_1 jiao_1 lu_4 xian_4
公交车	 gong_1 jiao_1 che_1
公交车站	 gong_1 jiao_1 che_1 zhan_4
公元	 gong_1 yuan_2
公共	 gong_1 gong_4
公共事业	 gong_1 gong_4 shi_4 ye_4
公共卫生	 gong_1 gong_4 wei_4 sheng_1
公共厕所	 gong_1 gong_4 ce_4 suo_3
公共建筑	 gong_1 gong_4 jian_4 zhu_4
公共汽车	 gong_1 gong_4 qi_4 che_1
公共资源	 gong_1 gong_4 zi_1 yuan_2
公历	 gong_1 li_4
公厕	 gong_1 ce_4
公司	 gong_1 si_1
公司地址	 gong_1 si_1 di_4 zhi_3
公司总部	 gong_1 si_1 zong_3 bu_4
公园	 gong_1 yuan_2
公园路	 gong_1 yuan_2 lu_4
公墓	 gong_1 mu_4
公安	 gong_1 an_1
公安交通	 gong_1 an_1 jiao_1 tong_1
公安分局	 gong_1 an_1 fen_4 ju_2
公安县	 gong_1 an_1 xian_4
公安局	 gong_1 an_1 ju_2
公寓	 gong_1 yu_4
公寓式	 gong_1 yu_4 shi_4
公寓楼	 gong_1 yu_4 lou_2
公山	 gong_1 shan_1
公平	 gong_1 ping_2
公府	 gong_1 fu_3
公开	 gong_1 kai_1
公式	 gong_1 shi_4
公明	 gong_1 ming_2
公母	 gong_1 mu_3
公牛	 gong_1 niu_2
公用事业	 gong_1 yong_4 shi_4 ye_4
公益	 gong_1 yi_4
公社	 gong_1 she_4
公祭	 gong_1 ji_4
公积金	 gong_1 ji_1 jin_1
公证处	 gong_1 zheng_4 chu_4
公路	 gong_1 lu_4
公路局	 gong_1 lu_4 ju_2
公车	 gong_1 che_1
公车站	 gong_1 che_1 zhan_4
公转	 gong_1 zhuan_4
公里	 gong_1 li_3
公馆	 gong_1 guan_3
六	 liu_4
六一	 liu_4 yi_1
六七	 liu_4 qi_1
六万	 liu_4 wan_4
六三	 liu_4 san_1
六下	 liu_4 xia_4
六个	 liu_4 ge_4
六中	 liu_4 zhong_1
六九	 liu_4 jiu_3
六二	 liu_4 er_4
六二五	 liu_4 er_4 wu_3
六五	 liu_4 wu_3
六份	 liu_4 fen_4
六倍	 liu_4 bei_4
六八	 liu_4 ba_1
六六	 liu_4 liu_4
六六六	 liu_4 liu_4 liu_4
六分	 liu_4 fen_1
六区	 liu_4 qu_1
六十	 liu_4 shi_2
六十一	 liu_4 shi_2 yi_1
六十七	 liu_4 shi_2 qi_1
六十三	 liu_4 shi_2 san_1
六十九	 liu_4 shi_2 jiu_3
六十二	 liu_4 shi_2 er_4
六十五	 liu_4 shi_2 wu_3
六十八	 liu_4 shi_2 ba_1
六十六	 liu_4 shi_2 liu_4
六十四	 liu_4 shi_2 si_4
六十米	 liu_4 shi_2 mi_3
六千	 liu_4 qian_1
六千五百	 liu_4 qian_1 wu_3 bai_3
六号	 liu_4 hao_4
六号楼	 liu_4 hao_4 lou_2
六合	 liu_4 he_2
六合彩	 liu_4 he_2 cai_3
六四	 liu_4 si_4
六堰	 liu_4 yan_4
六大	 liu_4 da_4
六天	 liu_4 tian_1
六安	 lu_4 an_1
六安市	 lu_4 an_1 shi_4
六家	 liu_4 jia_1
六小	 liu_4 xiao_3
六尺	 liu_4 chi_3
六巷	 liu_4 xiang_4
六年	 liu_4 nian_2
六弄	 liu_4 nong_4
六日	 liu_4 ri_4
